
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0     10,776 K
Registry                        96 Services                   0     16,716 K
smss.exe                       460 Services                   0        688 K
csrss.exe                      724 Services                   0      3,676 K
wininit.exe                    820 Services                   0      3,660 K
csrss.exe                      828 Console                    1      4,000 K
winlogon.exe                   924 Console                    1      6,348 K
services.exe                   932 Services                   0      7,216 K
lsass.exe                      976 Services                   0     18,856 K
svchost.exe                    532 Services                   0      2,428 K
WUDFHost.exe                   644 Services                   0      4,668 K
fontdrvhost.exe                636 Console                    1      3,484 K
fontdrvhost.exe                652 Services                   0      2,064 K
svchost.exe                    412 Services                   0     27,708 K
svchost.exe                   1084 Services                   0     16,288 K
svchost.exe                   1128 Services                   0      6,716 K
dwm.exe                       1212 Console                    1     55,924 K
svchost.exe                   1236 Services                   0      5,732 K
svchost.exe                   1256 Services                   0      7,208 K
svchost.exe                   1284 Services                   0      6,848 K
svchost.exe                   1400 Services                   0      6,244 K
svchost.exe                   1472 Services                   0     12,796 K
svchost.exe                   1640 Services                   0      8,604 K
svchost.exe                   1656 Services                   0     10,888 K
svchost.exe                   1744 Services                   0      4,316 K
svchost.exe                   1796 Services                   0      4,236 K
svchost.exe                   1840 Services                   0      5,728 K
svchost.exe                   1856 Services                   0      7,488 K
svchost.exe                   1888 Services                   0     10,864 K
svchost.exe                   1936 Services                   0      5,344 K
svchost.exe                   2008 Services                   0      5,172 K
svchost.exe                   2020 Services                   0    101,068 K
svchost.exe                   2028 Services                   0      3,652 K
svchost.exe                   1728 Services                   0      7,656 K
svchost.exe                   1668 Services                   0      5,580 K
svchost.exe                   2036 Services                   0      7,592 K
Memory Compression            2104 Services                   0    809,388 K
svchost.exe                   2152 Services                   0      6,468 K
igfxCUIService.exe            2232 Services                   0      4,972 K
svchost.exe                   2248 Services                   0      5,472 K
svchost.exe                   2304 Services                   0      5,292 K
svchost.exe                   2312 Services                   0     14,836 K
svchost.exe                   2320 Services                   0      7,060 K
svchost.exe                   2488 Services                   0     10,396 K
RtkAudioService64.exe         2540 Services                   0      4,360 K
wscript.exe                   2548 Services                   0      2,276 K
svchost.exe                   2632 Services                   0     13,212 K
svchost.exe                   2776 Services                   0      5,520 K
svchost.exe                   2784 Services                   0      8,124 K
svchost.exe                   2792 Services                   0      8,440 K
svchost.exe                   2800 Services                   0      4,620 K
dasHost.exe                   2812 Services                   0     11,600 K
svchost.exe                   2956 Services                   0      9,164 K
svchost.exe                   3040 Services                   0      7,636 K
svchost.exe                   3092 Services                   0      5,816 K
RAVBg64.exe                   3340 Console                    1      7,504 K
svchost.exe                   3348 Services                   0     11,896 K
svchost.exe                   3400 Services                   0      9,664 K
spoolsv.exe                   3456 Services                   0     10,924 K
svchost.exe                   3600 Services                   0      5,340 K
svchost.exe                   3668 Services                   0      4,544 K
svchost.exe                   3676 Services                   0      4,844 K
AppleMobileDeviceService.     3808 Services                   0      7,288 K
IpOverUsbSvc.exe              3816 Services                   0      7,552 K
IntelCpHDCPSvc.exe            3824 Services                   0      3,996 K
armsvc.exe                    3832 Services                   0      4,208 K
mDNSResponder.exe             3848 Services                   0      4,648 K
ftscanmgrhv.exe               3856 Services                   0      6,968 K
svchost.exe                   3864 Services                   0     15,656 K
svchost.exe                   3872 Services                   0     10,464 K
horizon_client_service.ex     3880 Services                   0      8,644 K
ftnlsv.exe                    3888 Services                   0      3,656 K
mfemms.exe                    3896 Services                   0      4,448 K
svchost.exe                   3908 Services                   0     29,980 K
svchost.exe                   3916 Services                   0     25,072 K
ModuleCoreService.exe         4028 Services                   0     39,032 K
svchost.exe                   4068 Services                   0      6,228 K
svchost.exe                   3228 Services                   0      4,220 K
PEFService.exe                3028 Services                   0      1,428 K
rpdsvc.exe                    3648 Services                   0     13,112 K
svchost.exe                   3768 Services                   0      6,764 K
SmartByteNetworkService.e     4168 Services                   0     25,264 K
SecurityHealthService.exe     4184 Services                   0      9,896 K
TrueColorALS.exe              4216 Services                   0      5,080 K
vmwsprrdpwks.exe              4260 Services                   0      5,324 K
